epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.112,1.91922,3.14326,2.17035,0.39967,0.37201,0.31702,0.12912,2.24626,2.74133,2.76896,0.0677021,0.000326241,0.000326241
2,173.44,1.77878,1.76672,2.00458,0.24089,0.22936,0.21213,0.09253,2.49915,4.31168,3.26481,0.0346978,0.000655221,0.000655221
3,275.098,1.81647,1.80479,2.03096,0.21771,0.17192,0.10066,0.03033,2.8853,14.3089,3.81713,0.00168902,0.000979801,0.000979801
1,27.5075,1.84449,2.29248,1.85112,0.41501,0.31507,0.30304,0.1354,2.16129,3.73216,2.35811,0.0674714,0.000328571,0.000328571
2,51.2202,1.76784,1.70004,1.76869,0.45742,0.4277,0.40717,0.18714,2.16208,2.75498,2.3232,0.0344671,0.000657536,0.000657536
3,74.3363,1.73937,1.59188,1.71894,0.50667,0.44342,0.43117,0.18055,2.20925,2.44326,2.4891,0.00145829,0.000982101,0.000982101
4,96.3732,1.75664,1.5914,1.7442,0.35918,0.42739,0.33757,0.14841,2.05701,2.72262,2.22811,0.0009802,0.0009802,0.0009802
5,118.911,1.69385,1.49303,1.69197,0.66045,0.55276,0.59106,0.27269,1.97627,1.70185,2.09344,0.0009736,0.0009736,0.0009736
6,138.793,1.66033,1.41708,1.65522,0.67632,0.63549,0.68382,0.3414,1.82155,1.55013,1.94589,0.000967,0.000967,0.000967
7,158.685,1.64902,1.39999,1.64904,0.72293,0.6728,0.72918,0.38981,1.69337,1.30205,1.7901,0.0009604,0.0009604,0.0009604
8,181.202,1.62583,1.3087,1.61284,0.7096,0.63193,0.6846,0.32872,1.92674,1.3454,1.96644,0.0009538,0.0009538,0.0009538
9,203.704,1.60238,1.26737,1.61585,0.77371,0.702,0.76378,0.393,1.71016,1.23122,1.85197,0.0009472,0.0009472,0.0009472
10,226.393,1.57823,1.26086,1.59326,0.78707,0.76633,0.81743,0.43385,1.61082,1.15873,1.70634,0.0009406,0.0009406,0.0009406
11,249.27,1.55968,1.21056,1.57714,0.79635,0.73007,0.80115,0.44092,1.60202,1.06478,1.72739,0.000934,0.000934,0.000934
12,271.842,1.55365,1.18695,1.55231,0.79661,0.77985,0.83974,0.46955,1.5511,1.05617,1.65125,0.0009274,0.0009274,0.0009274
13,295.68,1.53108,1.15088,1.53734,0.80717,0.78699,0.84374,0.46457,1.57626,1.0303,1.66291,0.0009208,0.0009208,0.0009208
14,318.11,1.50947,1.12053,1.5143,0.83759,0.7907,0.84929,0.48857,1.53843,0.97322,1.65129,0.0009142,0.0009142,0.0009142
15,341.272,1.50804,1.11291,1.52441,0.72474,0.77087,0.75943,0.44179,1.4986,1.06703,1.6137,0.0009076,0.0009076,0.0009076
16,364.195,1.46529,1.05978,1.4998,0.83792,0.79209,0.86721,0.49389,1.49254,0.94304,1.5992,0.000901,0.000901,0.000901
17,386.59,1.47869,1.08188,1.50952,0.81368,0.79493,0.85045,0.46514,1.56687,0.99522,1.67213,0.0008944,0.0008944,0.0008944
18,409.018,1.45486,1.0501,1.49574,0.83397,0.80793,0.87397,0.50716,1.47816,0.90329,1.60077,0.0008878,0.0008878,0.0008878
19,431.974,1.45226,1.04257,1.4799,0.89059,0.85151,0.90982,0.54429,1.42887,0.82941,1.54461,0.0008812,0.0008812,0.0008812
20,449.298,1.42472,0.98876,1.46447,0.88358,0.84372,0.91043,0.55704,1.38128,0.82483,1.51483,0.0008746,0.0008746,0.0008746
21,471.634,1.41234,0.98095,1.45881,0.88396,0.83488,0.90143,0.53742,1.4488,0.84244,1.5612,0.000868,0.000868,0.000868
22,493.873,1.40767,0.96732,1.44992,0.90126,0.86788,0.91892,0.57064,1.36451,0.76699,1.4988,0.0008614,0.0008614,0.0008614
23,516.224,1.38957,0.93733,1.43055,0.86011,0.84537,0.90115,0.54398,1.37455,0.84583,1.51708,0.0008548,0.0008548,0.0008548
24,538.264,1.38681,0.95533,1.4412,0.90553,0.86347,0.92218,0.57121,1.37862,0.74719,1.52472,0.0008482,0.0008482,0.0008482
25,561.367,1.38888,0.9433,1.44344,0.92261,0.86821,0.93659,0.57844,1.35686,0.74648,1.49261,0.0008416,0.0008416,0.0008416
26,584.374,1.35732,0.91703,1.4194,0.90126,0.88559,0.93156,0.58673,1.34396,0.73299,1.47986,0.000835,0.000835,0.000835
27,607.555,1.35768,0.90073,1.42011,0.92557,0.8796,0.93249,0.58753,1.31647,0.7215,1.4643,0.0008284,0.0008284,0.0008284
28,630.567,1.33712,0.87093,1.39467,0.90247,0.87674,0.92835,0.58769,1.32808,0.73915,1.46661,0.0008218,0.0008218,0.0008218
29,653.211,1.33237,0.8572,1.40068,0.91593,0.8968,0.94757,0.61326,1.27701,0.67845,1.42089,0.0008152,0.0008152,0.0008152
30,675.209,1.31083,0.84703,1.3812,0.91243,0.90056,0.94683,0.60662,1.29387,0.6744,1.45322,0.0008086,0.0008086,0.0008086
31,696.02,1.31497,0.85369,1.38403,0.93825,0.90525,0.954,0.61907,1.27249,0.65983,1.42066,0.000802,0.000802,0.000802
32,712.849,1.30904,0.8513,1.37468,0.93265,0.90495,0.9546,0.61692,1.24081,0.67409,1.40367,0.0007954,0.0007954,0.0007954
33,729.527,1.2876,0.82703,1.36606,0.936,0.91158,0.95792,0.63842,1.21954,0.62971,1.37785,0.0007888,0.0007888,0.0007888
34,746.215,1.28111,0.81996,1.35941,0.95227,0.90346,0.95822,0.64357,1.20705,0.61108,1.38311,0.0007822,0.0007822,0.0007822
35,762.912,1.29244,0.84083,1.36332,0.91685,0.9043,0.95904,0.63862,1.18987,0.64205,1.36526,0.0007756,0.0007756,0.0007756
36,779.688,1.27535,0.8055,1.36429,0.9442,0.9159,0.96586,0.65333,1.18662,0.60434,1.35814,0.000769,0.000769,0.000769
37,800.79,1.25833,0.78948,1.35671,0.94023,0.93284,0.96942,0.65953,1.16828,0.5853,1.34903,0.0007624,0.0007624,0.0007624
38,823.448,1.25516,0.78633,1.34938,0.9312,0.9191,0.9624,0.64919,1.17203,0.61884,1.34808,0.0007558,0.0007558,0.0007558
39,845.209,1.23846,0.76714,1.3375,0.94634,0.91151,0.96917,0.661,1.15801,0.59239,1.34748,0.0007492,0.0007492,0.0007492
40,865.61,1.21865,0.75518,1.30874,0.95055,0.92858,0.97077,0.66662,1.14948,0.56879,1.32185,0.0007426,0.0007426,0.0007426
41,882.426,1.21783,0.75111,1.31513,0.94443,0.92929,0.97181,0.67178,1.13555,0.56929,1.31986,0.000736,0.000736,0.000736
42,899.289,1.19792,0.74539,1.30477,0.94208,0.9244,0.9692,0.66595,1.14028,0.59227,1.32321,0.0007294,0.0007294,0.0007294
43,915.88,1.19587,0.72933,1.30453,0.93986,0.93035,0.97053,0.68128,1.12353,0.56509,1.31228,0.0007228,0.0007228,0.0007228
44,934.416,1.21399,0.73714,1.31479,0.94725,0.92843,0.97198,0.67246,1.12809,0.56734,1.31308,0.0007162,0.0007162,0.0007162
45,954.345,1.17772,0.72222,1.29561,0.95558,0.92881,0.97457,0.68318,1.10994,0.55415,1.29056,0.0007096,0.0007096,0.0007096
46,972.231,1.18653,0.72759,1.29814,0.95032,0.94917,0.97753,0.69132,1.0783,0.5339,1.28038,0.000703,0.000703,0.000703
47,991.44,1.16361,0.69098,1.28419,0.95454,0.93762,0.9791,0.68712,1.09286,0.54145,1.27994,0.0006964,0.0006964,0.0006964
48,1008.22,1.15907,0.70129,1.27327,0.94905,0.94954,0.97836,0.70604,1.05496,0.51617,1.25612,0.0006898,0.0006898,0.0006898
49,1024.93,1.13925,0.67911,1.28027,0.96047,0.93299,0.97794,0.70077,1.06899,0.51737,1.26682,0.0006832,0.0006832,0.0006832
50,1041.51,1.15831,0.69655,1.28356,0.95532,0.94699,0.98087,0.71338,1.03814,0.50413,1.2487,0.0006766,0.0006766,0.0006766
51,1059.5,1.14892,0.69878,1.27786,0.96296,0.95797,0.98513,0.72314,1.02502,0.48826,1.23563,0.00067,0.00067,0.00067
